DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
32K554,All City Leadership Secondary School,2018-19,430,0,0,0,0,0,0,0,60,59,61,64,67,61,58,239,0.556,191,0.444,27,0.063,37,0.086,324,0.753,2,0.005,40,0.093,50,0.116,11,0.026,350,0.814,0.681
32K556,Bushwick Leaders High School for Academic Excellen,2014-15,317,0,0,0,0,0,0,0,0,0,0,85,84,73,75,147,0.464,170,0.536,3,0.009,54,0.17,258,0.814,1,0.003,1,0.003,76,0.24,62,0.196,305,0.962,0.834
32K556,Bushwick Leaders High School for Academic Excellen,2015-16,274,0,0,0,0,0,0,0,0,0,0,73,80,62,59,127,0.464,147,0.536,3,0.011,48,0.175,219,0.799,1,0.004,3,0.011,70,0.255,62,0.226,265,0.967,0.836
32K556,Bushwick Leaders High School for Academic Excellen,2016-17,284,0,0,0,0,0,0,0,0,0,0,81,77,69,57,128,0.451,156,0.549,3,0.011,51,0.18,223,0.785,4,0.014,3,0.011,77,0.271,75,0.264,272,0.958,0.852
32K556,Bushwick Leaders High School for Academic Excellen,2017-18,281,0,0,0,0,0,0,0,0,0,0,89,75,56,61,126,0.448,155,0.552,2,0.007,48,0.171,222,0.79,6,0.021,3,0.011,76,0.27,75,0.267,272,0.968,0.927
32K556,Bushwick Leaders High School for Academic Excellen,2018-19,302,0,0,0,0,0,0,0,0,0,0,101,84,63,54,136,0.45,166,0.55,5,0.017,60,0.199,228,0.755,5,0.017,4,0.013,82,0.272,78,0.258,289,0.957,0.919
32K562,Evergreen Middle School for Urban Exploration,2014-15,343,0,0,0,0,0,0,0,100,110,133,0,0,0,0,156,0.455,187,0.545,6,0.017,95,0.277,233,0.679,4,0.012,5,0.015,78,0.227,80,0.233,305,0.889,0.829
32K562,Evergreen Middle School for Urban Exploration,2015-16,297,0,0,0,0,0,0,0,90,97,110,0,0,0,0,140,0.471,157,0.529,3,0.01,82,0.276,204,0.687,2,0.007,6,0.02,77,0.259,73,0.246,275,0.926,0.829
32K562,Evergreen Middle School for Urban Exploration,2016-17,325,0,0,0,0,0,0,0,129,97,99,0,0,0,0,155,0.477,170,0.523,2,0.006,84,0.258,231,0.711,2,0.006,6,0.018,86,0.265,70,0.215,287,0.883,0.8
32K562,Evergreen Middle School for Urban Exploration,2017-18,342,0,0,0,0,0,0,0,121,125,96,0,0,0,0,184,0.538,158,0.462,1,0.003,85,0.249,247,0.722,0,0,9,0.026,87,0.254,60,0.175,313,0.915,0.917
32K562,Evergreen Middle School for Urban Exploration,2018-19,370,0,0,0,0,0,0,0,119,130,121,0,0,0,0,182,0.492,188,0.508,3,0.008,81,0.219,279,0.754,0,0,7,0.019,84,0.227,61,0.165,350,0.946,0.897
32K564,Bushwick Community High School,2014-15,289,0,0,0,0,0,0,0,0,0,0,0,289,0,0,147,0.509,142,0.491,1,0.003,100,0.346,183,0.633,0,0,5,0.017,43,0.149,3,0.01,186,0.644,0.733
