DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
32K116,P.S. 116 Elizabeth L Farrell,373,101,27.1%,s,s,s,95
32K123,P.S. 123 Suydam,598,107,17.9%,68,55,13,39
32K145,P.S. 145 Andrew Jackson,492,130,26.4%,28,22,6,101
32K151,P.S. 151 Lyndon B. Johnson,336,109,32.4%,13,7,6,93
32K162,J.H.S. 162 The Willoughby,348,72,20.7%,25,19,6,40
32K168,The Brooklyn School for Math and Research,382,35,9.2%,8,s,s,25
32K274,P.S. 274 Kosciusko,381,125,32.8%,39,s,s,86
32K291,J.H.S. 291 Roland Hayes,329,81,24.6%,12,s,s,68
32K299,P.S. 299 Thomas Warren Field,201,53,26.4%,20,s,s,33
32K347,I.S. 347 School of Humanities,271,38,14.0%,12,s,s,26
32K349,"I.S. 349 Math, Science & Tech.",289,47,16.3%,15,s,s,32
32K376,P.S. 376,486,57,11.7%,7,s,s,50
32K377,P.S. 377 Alejandrina B. De Gautier,154,8,5.2%,s,s,s,s
32K383,J.H.S. 383 Philippa Schuyler,891,53,5.9%,11,s,s,41
32K384,P.S. /I.S. 384 Frances E. Carter,420,31,7.4%,10,s,s,21
32K403,Academy for Excellence in Leadership,281,61,21.7%,15,9,6,43
32K444,Home Schooling,83,14,16.9%,8,s,s,6
32K545,EBC High School for Public Service - Bushwick,468,45,9.6%,12,s,s,33
32K549,The Brooklyn School for Social Justice,343,55,16.0%,16,s,s,38
32K552,The Academy of Urban Planning and Engineering,374,55,14.7%,14,7,7,36
32K554,All City Leadership Secondary School,432,17,3.9%,s,s,s,13
32K556,Bushwick Leaders High School for Academic Excellen,371,61,16.4%,17,9,8,40
32K562,Evergreen Middle School for Urban Exploration,375,77,20.5%,23,16,7,51
32K564,Bushwick Community High School,148,9,6.1%,s,s,s,s
32K700,Universal Pre-K C.B.O.,1446,26,1.8%,17,s,s,8
75K004,P.S. K004,414,25,6.0%,13,s,s,6
75K036,P.S. 36,393,57,14.5%,34,23,11,7
75K053,P.S. K053,444,18,4.1%,13,s,s,s
75K077,P.S. K077,290,7,2.4%,s,s,s,s
75K140,P.S. K140,357,78,21.8%,44,18,26,15
75K141,P.S. K141,393,27,6.9%,16,10,6,9
75K231,P.S. K231,309,s,s,s,s,s,s
75K368,P.S. 368,257,35,13.6%,12,s,s,17
75K369,P.S. K369 - Coy L. Cox School,523,36,6.9%,17,9,8,14
75K370,P.S. 370,244,12,4.9%,s,s,s,6
75K371,P.S. 371 - Lillian L. Rashkis,223,14,6.3%,7,s,s,s
75K372,P.S. 372 -The Children's School,196,s,s,s,s,s,s
75K373,P.S. 373 - Brooklyn Transition Center,499,33,6.6%,20,s,s,9
75K396,P.S. K396,509,70,13.8%,34,24,10,30
75K403,Hospital Schools - Brooklyn,14,s,s,s,s,s,s
75K444,Home Schooling,40,s,s,s,s,s,s
75K503,Home Instruction - Brooklyn,59,s,s,s,s,s,s
75K721,P.S. K721 - Brooklyn Occupational Training Center,491,27,5.5%,13,s,s,10
75K753,P.S. K753 - School for Career Development,347,48,13.8%,34,21,13,s
75K771,P.S. K771,481,14,2.9%,8,s,s,s
75K811,P.S. K811 Connie Lekas School,337,21,6.2%,15,6,9,6
75M035,P.S. 035,354,62,17.5%,36,25,11,10
75M079,P.S. M079 - Horan School,280,26,9.3%,16,s,s,7
75M094,P.S. M094,418,42,10.0%,23,12,11,10
75M138,P.S. 138,672,64,9.5%,33,s,s,31
75M169,P.S. M169 - Robert F. Kennedy,354,55,15.5%,37,28,9,16
75M226,P.S. M226,282,35,12.4%,11,s,s,22
75M401,Hospital Schools,75,13,17.3%,s,s,s,s
75M444,Home Schooling,23,s,s,s,s,s,s
75M501,Home Instruction,48,9,18.8%,s,s,s,s
75M721,P.S. M721 - Manhattan Occupational Training Center,201,23,11.4%,13,s,s,9
75M751,Manhattan School for Career Development,245,32,13.1%,18,9,9,11
75M811,P.S. M811 - Mickey Mantle School,434,91,21.0%,35,23,12,49
75Q004,P.S. Q004,462,31,6.7%,11,s,s,10
75Q009,P.S. 009,648,60,9.3%,38,22,16,18
75Q023,P.S. Q023 @ Queens Children Center,490,22,4.5%,8,s,s,8
75Q075,Robert E. Peary School,606,54,8.9%,27,21,6,19
75Q177,P.S. Q177,504,11,2.2%,s,s,s,s
75Q224,P.S. Q224,422,17,4.0%,7,s,s,9
75Q233,P.S. Q233,562,14,2.5%,9,s,s,s
75Q255,P.S. Q255,469,10,2.1%,7,s,s,s
75Q256,P.S. Q256,674,50,7.4%,28,17,11,10
75Q277,The Riverview School,690,45,6.5%,19,8,11,25
75Q404,Hospital Schools - Queens,2,s,s,s,s,s,s
75Q444,Home Schooling,35,s,s,s,s,s,s
75Q504,Home Instruction - Queen,42,s,s,s,s,s,s
75Q721,John F. Kennedy Jr. School,501,22,4.4%,7,s,s,13
75Q752,Queens Transition Center,444,52,11.7%,33,16,17,12
75Q811,P.S. Q811,448,19,4.2%,8,s,s,9
75Q993,P.S. Q993,621,24,3.9%,11,s,s,7
75R025,South Richmond High School I.S./P.S. 25,615,31,5.0%,20,7,13,9
75R037,The David Marquis School of the Arts,478,9,1.9%,s,s,s,6
75R373,P.S. R373,627,25,4.0%,13,s,s,10
75R405,Hospital Schools - Staten Island,3,s,s,s,s,s,s
75R444,Home Schooling,21,s,s,s,s,s,s
75R505,Home Instruction - S.I.,8,s,s,s,s,s,s
75R721,The Richard H. Hungerford School,436,14,3.2%,s,s,s,8
75X010,P.S. X010,652,63,9.7%,36,24,12,21
75X012,P.S. X012 Lewis and Clark School,311,40,12.9%,24,8,16,10
75X017,P.S. X017,550,55,10.0%,42,25,17,9
75X168,P.S. 168,519,62,11.9%,28,17,11,25
75X176,P.S. X176,552,23,4.2%,15,s,s,7
75X186,P186X Walter J. Damrosch School,736,108,14.7%,65,49,16,24
75X188,P.S. X188,572,72,12.6%,37,20,17,29
75X352,The Vida Bogart School for All Children,565,68,12.0%,47,27,20,15
75X402,Hospital Schools - Bronx,14,s,s,s,s,s,s
75X444,Home Schooling,39,s,s,s,s,s,s
75X469,P469X - The Bronx School for Continuous Learners,547,81,14.8%,47,31,16,28
75X502,Home Instruction - Bronx,47,s,s,s,s,s,s
75X596,P.S. X596,412,19,4.6%,11,s,s,6
75X721,P.S. X721 - Stephen McSweeney School,585,63,10.8%,31,13,18,24
75X723,P.S. 723,486,93,19.1%,45,25,20,24
75X754,J. M. Rapport School Career Development,505,96,19.0%,62,32,30,15
75X811,P.S. X811,649,59,9.1%,31,13,18,25
79K925,YABC Programs - Brooklyn and Queens,1234,98,7.9%,36,12,24,52
79M379,"YABC Programs ? Manhattan, Bronx, Staten Island",1061,126,11.9%,71,26,45,47
79M645,School for Cooperative Technical Education,708,49,6.9%,14,6,8,27
79M921,District 79 Youth Justice and Treatment Programs,154,27,17.5%,10,s,s,8
79M973,Restart Academy,669,398,59.5%,24,15,9,10
79Q344,East River Academy,469,67,14.3%,27,s,s,12
79Q950,Pathways to Graduation,5641,693,12.3%,304,122,182,225
79X695,Passages Academy,246,45,18.3%,24,10,14,8
