District,Year,Enrolled,Status,Percentage
14,2019,348489.0,Absent Percentage,7.566666379713563
14,2019,295555.0,Absent Percentage,9.380995077058415
14,2019,260235.0,Absent Percentage,10.03016504313409
14,2019,337843.0,Absent Percentage,10.558158671335502
14,2019,259326.0,Absent Percentage,9.746033949546131
14,2019,172946.0,Absent Percentage,13.736079469892337
14,2020,168095.0,Absent Percentage,14.264552782652668
14,2020,350560.0,Absent Percentage,10.832382473756276
14,2020,298795.0,Absent Percentage,10.660151608962666
14,2020,281996.0,Absent Percentage,10.372842167974014
14,2020,312006.0,Absent Percentage,10.87607289603405
14,2020,222515.0,Absent Percentage,9.593959957755658
14,2020,326447.0,Absent Percentage,9.668031870410818
14,2020,326616.0,Absent Percentage,10.22454503147427
14,2020,307890.0,Absent Percentage,10.406963525934588
14,2020,280862.0,Absent Percentage,16.038837578597317
15,2018,473410.0,Absent Percentage,5.359413616104434
15,2018,692853.0,Absent Percentage,5.152896790516892
15,2018,565380.0,Absent Percentage,6.6981499168700696
15,2018,470522.0,Absent Percentage,7.286800617186868
15,2018,631724.0,Absent Percentage,7.872108705700591
15,2018,437285.0,Absent Percentage,7.509747647415302
15,2018,624267.0,Absent Percentage,7.0312862925639195
15,2018,497816.0,Absent Percentage,6.969442524948977
15,2018,685501.0,Absent Percentage,7.108085910888533
15,2018,436920.0,Absent Percentage,9.819646617229699
15,2019,529384.0,Absent Percentage,5.465031054961993
15,2019,621769.0,Absent Percentage,5.3865663936285015
15,2019,527487.0,Absent Percentage,6.838462369688732
15,2019,464683.0,Absent Percentage,7.853310751630682
15,2019,621642.0,Absent Percentage,8.245581862229386
15,2019,462719.0,Absent Percentage,7.632494019048278
15,2019,308498.0,Absent Percentage,11.46911811421792
15,2020,299408.0,Absent Percentage,9.735878800833644
15,2020,628483.0,Absent Percentage,7.8535139375289384
15,2020,538218.0,Absent Percentage,7.937118416701039
15,2020,508080.0,Absent Percentage,7.9965753424657535
15,2020,566027.0,Absent Percentage,8.613193363567461
15,2020,409260.0,Absent Percentage,8.069198064799883
15,2020,593993.0,Absent Percentage,8.735288126291051
15,2020,592734.0,Absent Percentage,9.008762783980673
15,2020,562348.0,Absent Percentage,9.313983511989017
15,2020,506194.0,Absent Percentage,13.079175177896222
16,2018,90476.0,Absent Percentage,11.825235421548255
16,2018,133432.0,Absent Percentage,11.172732178188141
16,2018,109531.0,Absent Percentage,14.25076005879614
16,2018,91522.0,Absent Percentage,13.344332510216123
16,2018,119935.0,Absent Percentage,15.050652436736566
16,2018,85124.0,Absent Percentage,13.505004464075936
16,2018,121350.0,Absent Percentage,13.513803049031726
16,2018,97204.0,Absent Percentage,13.619809884366898
16,2018,133549.0,Absent Percentage,14.739908198488944
16,2018,81536.0,Absent Percentage,21.33045525902669
16,2019,101950.0,Absent Percentage,11.065228052967141
16,2019,120663.0,Absent Percentage,11.556981013235209
