District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M363,270.0,0.491,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M364,291.0,0.607,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M378,185.0,0.9,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M448,570.0,0.831,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M450,681.0,0.647,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M458,149.0,0.907,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M515,481.0,0.95,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M539,1791.0,0.287,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M650,167.0,0.8859999999999999,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M696,636.0,0.409,Manhattan
01,2020,89.28413391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M839,354.0,0.626,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M015,179.0,0.879,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M019,176.0,0.6779999999999999,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M020,351.0,0.753,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M034,258.0,0.944,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M063,186.0,0.7040000000000001,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M064,215.0,0.863,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M110,330.0,0.6629999999999999,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M134,177.0,0.95,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M140,340.0,0.917,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M142,330.0,0.897,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M184,717.0,0.621,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M188,390.0,0.95,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M292,290.0,0.8420000000000001,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M315,302.0,0.4379999999999999,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M332,196.0,0.8490000000000001,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M361,283.0,0.521,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M363,247.0,0.478,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M364,239.0,0.653,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M378,167.0,0.875,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M448,522.0,0.802,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M450,701.0,0.65,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M458,138.0,0.924,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M515,464.0,0.941,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M539,1640.0,0.256,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M650,139.0,0.901,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M696,614.0,0.436,Manhattan
01,2021,87.13658142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01M839,322.0,0.63,Manhattan
0,2022,88.44252014,3283.0,605.0,19.8,26.5,24.2,29.5,53.7,ELA,0,0.0,0.0,
0,2022,88.44252014,2989.0,601.0,32.6,21.2,16.4,29.8,46.2,Math,0,0.0,0.0,
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M001,295.0,0.8340000000000001,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M002,483.0,0.909,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M003,731.0,0.184,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M006,671.0,0.105,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M011,888.0,0.341,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M033,632.0,0.494,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M040,708.0,0.142,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M041,694.0,0.079,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M042,574.0,0.799,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M047,196.0,0.772,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M051,481.0,0.597,Manhattan
